itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
0,10.9914,10.9914,5.2351,5.2351,576.0,18.0000,9.5181,0.0049,0.0000
1,20.6148,9.6234,5.2330,5.2330,576.0,18.0000,9.4510,0.0049,0.0000
2,30.3450,9.7302,5.2308,5.2307,576.0,18.0000,9.3307,0.0049,0.0000
3,40.0501,9.7050,5.2266,5.2265,576.0,18.0000,9.1411,0.0050,0.0000
4,49.8135,9.7634,5.2218,5.2217,576.0,18.0000,8.9064,0.0051,0.0000
5,59.7369,9.9234,5.2156,5.2155,576.0,18.0000,8.6167,0.0052,0.0000
6,69.4300,9.6931,5.2087,5.2087,576.0,18.0000,8.2833,0.0054,0.0000
7,79.3125,9.8826,5.2021,5.2020,576.0,18.0000,7.9267,0.0058,0.0000
8,89.1298,9.8173,5.1942,5.1942,576.0,18.0000,7.5409,0.0064,0.0000
9,98.8253,9.6955,5.1882,5.1881,576.0,18.0000,7.1732,0.0071,0.0000
10,108.6938,9.8686,5.1815,5.1814,576.0,18.0000,6.8105,0.0079,0.0000
11,118.2940,9.6001,5.1759,5.1758,576.0,18.0000,6.4851,0.0090,0.0000
12,127.8954,9.6014,5.1701,5.1700,576.0,18.0000,6.1923,0.0101,0.0000
13,137.7565,9.8611,5.1648,5.1646,576.0,18.0000,5.9155,0.0113,0.0000
14,147.6344,9.8779,5.1605,5.1604,576.0,18.0000,5.6694,0.0125,0.0000
15,157.5320,9.8976,5.1556,5.1555,576.0,18.0000,5.4044,0.0137,0.0000
16,167.3274,9.7954,5.1509,5.1507,576.0,18.0000,5.1289,0.0149,0.0000
17,177.2194,9.8919,5.1459,5.1458,576.0,18.0000,4.8146,0.0159,0.0000
18,186.8222,9.6028,5.1416,5.1414,576.0,18.0000,4.4707,0.0169,0.0000
19,196.4430,9.6208,5.1371,5.1369,576.0,18.0000,4.0953,0.0179,0.0000
20,205.9357,9.4927,5.1324,5.1322,576.0,18.0000,3.6846,0.0188,0.0000
21,216.0460,10.1103,5.1280,5.1278,576.0,18.0000,3.2739,0.0197,0.0000
22,225.9999,9.9539,5.1246,5.1244,576.0,18.0000,2.8713,0.0207,0.0000
23,236.1733,10.1734,5.1205,5.1202,576.0,18.0000,2.4924,0.0217,0.0000
24,246.1433,9.9699,5.1173,5.1171,576.0,18.0000,2.1598,0.0228,0.0000
25,256.1511,10.0078,5.1145,5.1143,576.0,18.0000,1.8709,0.0240,0.0000
26,266.1687,10.0175,5.1112,5.1109,576.0,18.0000,1.6324,0.0254,0.0000
27,276.1624,9.9938,5.1083,5.1081,576.0,18.0000,1.4966,0.0270,0.0000
28,286.3936,10.2311,5.1060,5.1057,576.0,18.0000,1.4881,0.0288,0.0000
29,296.1480,9.7544,5.1043,5.1040,576.0,18.0000,1.6210,0.0308,0.0000
30,306.2827,10.1347,5.1019,5.1016,576.0,18.0000,1.8679,0.0328,0.0000
31,316.2502,9.9675,5.1003,5.1000,576.0,18.0000,2.1489,0.0349,0.0000
32,326.2508,10.0005,5.0980,5.0977,576.0,18.0000,2.4281,0.0368,0.0000
33,336.0270,9.7763,5.0953,5.0950,576.0,18.0000,2.6305,0.0386,0.0000
34,346.1573,10.1302,5.0913,5.0909,576.0,18.0000,2.7550,0.0400,0.0000
35,356.0592,9.9019,5.0861,5.0857,576.0,18.0000,2.7912,0.0413,0.0000
36,366.2230,10.1639,5.0812,5.0808,576.0,18.0000,2.7450,0.0423,0.0000
37,376.2572,10.0341,5.0741,5.0736,576.0,18.0000,2.6362,0.0433,0.0000
38,386.3199,10.0628,5.0667,5.0662,576.0,18.0000,2.5002,0.0443,0.0000
39,396.1899,9.8700,5.0588,5.0583,576.0,18.0000,2.3441,0.0456,0.0000
40,406.1740,9.9840,5.0501,5.0496,576.0,18.0000,2.2005,0.0472,0.0000
41,416.1373,9.9633,5.0401,5.0396,576.0,18.0000,2.1079,0.0494,0.0000
42,425.9458,9.8085,5.0292,5.0287,576.0,18.0000,2.0416,0.0522,0.0000
43,435.9793,10.0335,5.0174,5.0168,576.0,18.0000,2.0551,0.0558,0.0000
44,445.8989,9.9197,5.0044,5.0038,576.0,18.0000,2.1318,0.0602,0.0000
45,455.9893,10.0904,4.9896,4.9889,576.0,18.0000,2.2612,0.0655,0.0000
46,466.0063,10.0170,4.9738,4.9731,576.0,18.0000,2.3814,0.0715,0.0000
47,475.8578,9.8515,4.9564,4.9556,576.0,18.0000,2.4799,0.0782,0.0000
48,485.7758,9.9180,4.9366,4.9358,576.0,18.0000,2.5513,0.0858,0.0000
49,495.9892,10.2134,4.9150,4.9141,576.0,18.0000,2.6000,0.0946,0.0000
50,506.0164,10.0272,4.8915,4.8905,576.0,18.0000,2.6409,0.1049,0.0000
51,515.8682,9.8518,4.8661,4.8649,576.0,18.0000,2.6905,0.1172,0.0000
52,525.5970,9.7288,4.8387,4.8374,576.0,18.0000,2.7297,0.1319,0.0001
53,535.4699,9.8729,4.8100,4.8085,576.0,18.0000,2.7780,0.1496,0.0001
54,545.4243,9.9544,4.7794,4.7777,576.0,18.0000,2.7961,0.1701,0.0001
55,555.4865,10.0622,4.7479,4.7459,576.0,18.0000,2.7922,0.1934,0.0001
56,565.2514,9.7648,4.7163,4.7141,576.0,18.0000,2.7447,0.2192,0.0002
57,574.4034,9.1520,4.6841,4.6816,576.0,18.0000,2.6634,0.2467,0.0002
58,584.1053,9.7019,4.6519,4.6491,576.0,18.0000,2.5644,0.2755,0.0003
59,593.8583,9.7530,4.6202,4.6171,576.0,18.0000,2.4620,0.3052,0.0003
60,603.7432,9.8850,4.5897,4.5863,576.0,18.0000,2.3941,0.3353,0.0004
61,613.5307,9.7874,4.5599,4.5562,576.0,18.0000,2.3615,0.3655,0.0005
62,623.4430,9.9123,4.5308,4.5268,576.0,18.0000,2.3693,0.3956,0.0006
63,633.3937,9.9507,4.5035,4.4992,576.0,18.0000,2.3843,0.4248,0.0008
64,643.1869,9.7932,4.4766,4.4721,576.0,18.0000,2.3981,0.4526,0.0010
65,653.1435,9.9566,4.4501,4.4453,576.0,18.0000,2.3988,0.4788,0.0012
66,663.0710,9.9276,4.4242,4.4191,576.0,18.0000,2.3913,0.5024,0.0014
67,672.4736,9.4025,4.3992,4.3939,576.0,18.0000,2.3935,0.5233,0.0016
68,682.3794,9.9058,4.3746,4.3692,576.0,18.0000,2.4173,0.5421,0.0020
69,692.2155,9.8361,4.3508,4.3452,576.0,18.0000,2.4604,0.5593,0.0022
70,701.3043,9.0888,4.3277,4.3219,576.0,18.0000,2.5019,0.5758,0.0026
71,711.1714,9.8672,4.3056,4.2997,576.0,18.0000,2.5378,0.5922,0.0030
72,721.0754,9.9040,4.2831,4.2769,576.0,18.0000,2.5452,0.6097,0.0033
73,730.9851,9.9097,4.2619,4.2555,576.0,18.0000,2.5238,0.6285,0.0039
74,740.7207,9.7356,4.2421,4.2356,576.0,18.0000,2.4727,0.6493,0.0045
75,750.5073,9.7866,4.2227,4.2159,576.0,18.0000,2.3801,0.6709,0.0048
76,760.5459,10.0386,4.2054,4.1984,576.0,18.0000,2.2619,0.6928,0.0057
77,770.4658,9.9199,4.1888,4.1816,576.0,18.0000,2.1129,0.7148,0.0062
78,777.1888,6.7230,4.1737,4.1662,576.0,18.0000,1.9583,0.7356,0.0068
79,786.4129,9.2241,4.1607,4.1531,576.0,18.0000,1.8154,0.7541,0.0076
80,796.2829,9.8700,4.1492,4.1414,576.0,18.0000,1.6752,0.7694,0.0084
81,806.0298,9.7469,4.1392,4.1313,576.0,18.0000,1.5707,0.7817,0.0094
82,815.8075,9.7777,4.1308,4.1228,576.0,18.0000,1.4871,0.7901,0.0101
83,825.6797,9.8722,4.1237,4.1156,576.0,18.0000,1.4323,0.7955,0.0112
84,835.6337,9.9540,4.1178,4.1097,576.0,18.0000,1.3621,0.7968,0.0120
85,845.5077,9.8740,4.1130,4.1049,576.0,18.0000,1.3007,0.7958,0.0135
86,855.4095,9.9018,4.1081,4.1000,576.0,18.0000,1.2014,0.7921,0.0142
87,865.2560,9.8465,4.1039,4.0959,576.0,18.0000,1.0930,0.7867,0.0151
88,874.9609,9.7049,4.1001,4.0921,576.0,18.0000,0.9659,0.7800,0.0162
89,884.8003,9.8394,4.0978,4.0899,576.0,18.0000,0.8437,0.7719,0.0176
90,894.5633,9.7631,4.0953,4.0875,576.0,18.0000,0.7216,0.7637,0.0184
91,904.2634,9.7001,4.0929,4.0852,576.0,18.0000,0.5973,0.7547,0.0193
92,914.1872,9.9238,4.0918,4.0842,576.0,18.0000,0.4986,0.7462,0.0203
93,924.0939,9.9067,4.0917,4.0841,576.0,18.0000,0.4405,0.7376,0.0220
94,934.0333,9.9395,4.0897,4.0822,576.0,18.0000,0.4361,0.7294,0.0229
95,944.0712,10.0378,4.0891,4.0816,576.0,18.0000,0.4669,0.7205,0.0237
96,954.0219,9.9507,4.0906,4.0832,576.0,18.0000,0.5475,0.7110,0.0255
97,964.0067,9.9849,4.0887,4.0814,576.0,18.0000,0.6465,0.7016,0.0254
98,973.9213,9.9145,4.0891,4.0819,576.0,18.0000,0.7455,0.6904,0.0264
99,983.8892,9.9680,4.0877,4.0806,576.0,18.0000,0.8190,0.6781,0.0260
100,993.7227,9.8335,4.0868,4.0799,576.0,18.0000,0.8776,0.6643,0.0262
101,1003.6996,9.9769,4.0864,4.0796,576.0,18.0000,0.8580,0.6499,0.0274
102,1013.5521,9.8525,4.0864,4.0798,576.0,18.0000,0.8278,0.6351,0.0283
103,1023.5181,9.9660,4.0876,4.0811,576.0,18.0000,0.7607,0.6196,0.0299
104,1033.5191,10.0010,4.0844,4.0780,576.0,18.0000,0.6805,0.6041,0.0280
105,1043.5647,10.0457,4.0830,4.0768,576.0,18.0000,0.6087,0.5893,0.0283
106,1053.3744,9.8096,4.0830,4.0770,576.0,18.0000,0.5369,0.5747,0.0293
107,1063.2808,9.9064,4.0822,4.0763,576.0,18.0000,0.4578,0.5605,0.0300
108,1073.1155,9.8347,4.0812,4.0755,576.0,18.0000,0.3818,0.5466,0.0298
109,1083.0404,9.9248,4.0802,4.0746,576.0,18.0000,0.3395,0.5325,0.0292
110,1092.9248,9.8844,4.0788,4.0733,576.0,18.0000,0.3251,0.5191,0.0282
111,1102.7907,9.8659,4.0785,4.0732,576.0,18.0000,0.3272,0.5064,0.0287
112,1112.5806,9.7899,4.0779,4.0727,576.0,18.0000,0.3389,0.4947,0.0281
113,1122.3430,9.7624,4.0765,4.0714,576.0,18.0000,0.3571,0.4844,0.0276
114,1132.3736,10.0305,4.0771,4.0721,576.0,18.0000,0.3607,0.4745,0.0280
115,1142.0486,9.6750,4.0748,4.0699,576.0,18.0000,0.3730,0.4656,0.0265
116,1151.9247,9.8761,4.0745,4.0696,576.0,18.0000,0.3722,0.4573,0.0265
117,1161.8695,9.9448,4.0750,4.0703,576.0,18.0000,0.3545,0.4501,0.0269
118,1171.8262,9.9567,4.0735,4.0688,576.0,18.0000,0.3370,0.4428,0.0259
119,1181.7180,9.8917,4.0726,4.0680,576.0,18.0000,0.3059,0.4356,0.0259
120,1191.4369,9.7189,4.0729,4.0684,576.0,18.0000,0.2754,0.4287,0.0254
121,1201.4519,10.0150,4.0707,4.0662,576.0,18.0000,0.2496,0.4220,0.0242
122,1211.2075,9.7556,4.0710,4.0666,576.0,18.0000,0.2263,0.4154,0.0249
123,1221.0806,9.8731,4.0702,4.0658,576.0,18.0000,0.2203,0.4096,0.0240
124,1231.0657,9.9852,4.0690,4.0647,576.0,18.0000,0.2189,0.4039,0.0233
125,1240.9061,9.8403,4.0698,4.0656,576.0,18.0000,0.2247,0.3983,0.0240
126,1250.6703,9.7642,4.0686,4.0644,576.0,18.0000,0.2361,0.3931,0.0233
127,1260.5734,9.9031,4.0685,4.0643,576.0,18.0000,0.2482,0.3879,0.0227
128,1270.5120,9.9386,4.0673,4.0633,576.0,18.0000,0.2546,0.3828,0.0223
129,1280.4391,9.9271,4.0672,4.0632,576.0,18.0000,0.2523,0.3779,0.0223
130,1290.2150,9.7759,4.0662,4.0622,576.0,18.0000,0.2525,0.3731,0.0217
131,1300.1877,9.9726,4.0675,4.0636,576.0,18.0000,0.2603,0.3682,0.0221
132,1310.1441,9.9564,4.0662,4.0623,576.0,18.0000,0.2431,0.3638,0.0217
133,1320.1148,9.9707,4.0648,4.0610,576.0,18.0000,0.2294,0.3595,0.0211
134,1330.0394,9.9246,4.0640,4.0603,576.0,18.0000,0.2260,0.3557,0.0207
135,1339.9550,9.9156,4.0624,4.0587,576.0,18.0000,0.2367,0.3525,0.0201
136,1349.7623,9.8073,4.0631,4.0594,576.0,18.0000,0.2131,0.3500,0.0207
137,1359.6677,9.9054,4.0636,4.0599,576.0,18.0000,0.2124,0.3472,0.0213
138,1369.5943,9.9267,4.0628,4.0591,576.0,18.0000,0.2170,0.3453,0.0207
139,1379.5710,9.9767,4.0614,4.0578,576.0,18.0000,0.2218,0.3441,0.0205
140,1389.3384,9.7674,4.0616,4.0580,576.0,18.0000,0.2254,0.3429,0.0205
141,1399.3247,9.9862,4.0600,4.0564,576.0,18.0000,0.2286,0.3422,0.0203
142,1409.1903,9.8656,4.0612,4.0576,576.0,18.0000,0.2360,0.3419,0.0210
143,1419.1769,9.9866,4.0612,4.0575,576.0,18.0000,0.2375,0.3418,0.0213
144,1428.9759,9.7990,4.0589,4.0553,576.0,18.0000,0.2338,0.3423,0.0206
145,1438.1699,9.1940,4.0601,4.0564,576.0,18.0000,0.2371,0.3427,0.0216
146,1448.1200,9.9501,4.0587,4.0551,576.0,18.0000,0.2334,0.3433,0.0209
147,1458.1686,10.0486,4.0577,4.0540,576.0,18.0000,0.2388,0.3439,0.0209
148,1468.0376,9.8690,4.0587,4.0550,576.0,18.0000,0.2459,0.3446,0.0219
149,1477.9385,9.9009,4.0572,4.0536,576.0,18.0000,0.2380,0.3454,0.0214
150,1487.9814,10.0429,4.0550,4.0514,576.0,18.0000,0.2411,0.3461,0.0211
151,1497.8447,9.8633,4.0563,4.0526,576.0,18.0000,0.2475,0.3466,0.0219
152,1507.8630,10.0183,4.0536,4.0500,576.0,18.0000,0.2647,0.3470,0.0212
153,1517.7998,9.9368,4.0535,4.0498,576.0,18.0000,0.2590,0.3475,0.0212
154,1527.6742,9.8744,4.0536,4.0499,576.0,18.0000,0.2708,0.3478,0.0219
155,1537.5583,9.8841,4.0528,4.0491,576.0,18.0000,0.2722,0.3478,0.0219
156,1547.5732,10.0149,4.0524,4.0487,576.0,18.0000,0.2788,0.3481,0.0221
157,1557.5887,10.0155,4.0510,4.0473,576.0,18.0000,0.2799,0.3484,0.0221
158,1567.3473,9.7587,4.0493,4.0456,576.0,18.0000,0.2942,0.3485,0.0216
159,1577.2906,9.9432,4.0483,4.0446,576.0,18.0000,0.3015,0.3486,0.0216
160,1587.0118,9.7212,4.0477,4.0440,576.0,18.0000,0.3074,0.3488,0.0223
161,1596.9579,9.9461,4.0471,4.0434,576.0,18.0000,0.3178,0.3496,0.0225
162,1606.7565,9.7986,4.0456,4.0418,576.0,18.0000,0.3246,0.3503,0.0224
163,1616.6154,9.8589,4.0435,4.0398,576.0,18.0000,0.3406,0.3511,0.0220
164,1626.6439,10.0285,4.0429,4.0392,576.0,18.0000,0.3443,0.3520,0.0225
165,1636.4676,9.8237,4.0412,4.0375,576.0,18.0000,0.3637,0.3532,0.0229
166,1646.2748,9.8072,4.0391,4.0354,576.0,18.0000,0.3847,0.3546,0.0222
167,1656.2500,9.9752,4.0378,4.0340,576.0,18.0000,0.3810,0.3561,0.0226
168,1666.2184,9.9684,4.0375,4.0337,576.0,18.0000,0.4081,0.3575,0.0235
169,1676.0882,9.8698,4.0335,4.0297,576.0,18.0000,0.4191,0.3590,0.0229
170,1685.7557,9.6675,4.0329,4.0290,576.0,18.0000,0.4311,0.3609,0.0237
171,1695.4948,9.7391,4.0292,4.0254,576.0,18.0000,0.4578,0.3628,0.0232
172,1705.2803,9.7855,4.0261,4.0222,576.0,18.0000,0.4705,0.3652,0.0230
173,1714.7653,9.4850,4.0235,4.0196,576.0,18.0000,0.4985,0.3679,0.0234
174,1724.5509,9.7856,4.0213,4.0174,576.0,18.0000,0.5339,0.3713,0.0242
175,1734.4750,9.9241,4.0182,4.0142,576.0,18.0000,0.6539,0.3754,0.0243
176,1744.3728,9.8978,4.0134,4.0094,576.0,18.0000,0.9583,0.3797,0.0245
177,1754.3856,10.0128,4.0075,4.0034,576.0,18.0000,1.7937,0.3855,0.0241
178,1764.1397,9.7541,4.0057,4.0015,576.0,18.0000,4.3519,0.3921,0.0252
179,1774.0049,9.8651,4.0093,4.0050,576.0,18.0000,11.7796,0.4027,0.0257
180,1783.8172,9.8123,4.0387,4.0343,576.0,18.0000,25.7926,0.4156,0.0271
181,1793.6234,9.8062,4.0488,4.0443,576.0,18.0000,29.7248,0.4161,0.0273
182,1803.5016,9.8782,4.0022,3.9981,576.0,18.0000,10.3124,0.3813,0.0283
183,1813.4514,9.9499,4.0177,4.0137,576.0,18.0000,21.1886,0.3770,0.0295
184,1823.2797,9.8283,3.9944,3.9905,576.0,18.0000,9.1301,0.3617,0.0305
185,1832.9604,9.6807,3.9994,3.9954,576.0,18.0000,16.8857,0.3604,0.0304
186,1842.6319,9.6715,3.9798,3.9759,576.0,18.0000,6.8965,0.3591,0.0320
187,1852.2124,9.5806,3.9877,3.9837,576.0,18.0000,15.5802,0.3665,0.0328
188,1861.8749,9.6625,3.9642,3.9603,576.0,18.0000,4.2226,0.3568,0.0335
189,1871.2687,9.3938,3.9736,3.9697,576.0,18.0000,14.6799,0.3574,0.0352
190,1880.8549,9.5862,3.9503,3.9463,576.0,18.0000,4.6391,0.3576,0.0367
191,1890.4874,9.6325,3.9585,3.9544,576.0,18.0000,13.0613,0.3687,0.0404
192,1900.2240,9.7366,3.9368,3.9327,576.0,18.0000,6.3633,0.3651,0.0420
193,1910.0013,9.7773,3.9348,3.9307,576.0,18.0000,10.3967,0.3664,0.0443
194,1919.8730,9.8718,3.9235,3.9192,576.0,18.0000,9.1521,0.3784,0.0485
195,1929.4260,9.5529,3.9112,3.9066,576.0,18.0000,7.8428,0.4040,0.0533
196,1939.2186,9.7927,3.9022,3.8973,576.0,18.0000,10.1827,0.4346,0.0587
197,1949.1211,9.9025,3.8879,3.8826,576.0,18.0000,6.9053,0.4654,0.0663
198,1959.0510,9.9298,3.8806,3.8747,576.0,18.0000,9.5159,0.5110,0.0740
199,1969.0615,10.0105,3.8714,3.8650,576.0,18.0000,8.6030,0.5659,0.0816
200,1978.9848,9.9233,3.8580,3.8510,576.0,18.0000,6.7120,0.6087,0.0908
201,1988.6809,9.6961,3.8517,3.8443,576.0,18.0000,10.1352,0.6351,0.1010
202,1998.7322,10.0513,3.8372,3.8297,576.0,18.0000,5.3394,0.6441,0.1093
203,2008.6504,9.9182,3.8225,3.8149,576.0,18.0000,8.3049,0.6389,0.1185
204,2018.6013,9.9509,3.8097,3.8023,576.0,18.0000,9.7891,0.6123,0.1224
205,2028.4955,9.8942,3.7897,3.7825,576.0,18.0000,3.7131,0.5861,0.1289
206,2038.4227,9.9272,3.7703,3.7631,576.0,18.0000,10.7170,0.5817,0.1378
207,2048.2188,9.7961,3.7473,3.7400,576.0,18.0000,5.1813,0.5781,0.1460
208,2058.1815,9.9627,3.7273,3.7197,576.0,18.0000,7.1294,0.6001,0.1589
209,2068.0937,9.9123,3.7059,3.6976,576.0,18.0000,10.5098,0.6523,0.1766
210,2078.0554,9.9616,3.6705,3.6615,576.0,18.0000,5.5690,0.7049,0.2005
