itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
0,8.0396,8.0396,27.9725,27.9725,320.0,10.0000,217.3083,0.0025,0.0000
1,11.5262,3.4866,27.8786,27.8786,320.0,10.0000,216.6482,0.0025,0.0000
2,15.0417,3.5155,27.8683,27.8683,320.0,10.0000,214.5698,0.0025,0.0000
3,18.5631,3.5214,27.8459,27.8459,320.0,10.0000,217.3996,0.0024,0.0000
4,22.0737,3.5106,27.7099,27.7099,320.0,10.0000,216.5949,0.0024,0.0000
5,25.5947,3.5211,27.6106,27.6106,320.0,10.0000,216.5437,0.0024,0.0000
6,29.1151,3.5204,27.5865,27.5865,320.0,10.0000,217.5121,0.0025,0.0000
7,32.6166,3.5015,27.5063,27.5063,320.0,10.0000,214.5149,0.0027,0.0000
8,36.1262,3.5095,27.2990,27.2989,320.0,10.0000,215.5008,0.0029,0.0000
9,39.6420,3.5158,27.1607,27.1606,320.0,10.0000,217.4475,0.0034,0.0000
10,43.1352,3.4933,27.1087,27.1087,320.0,10.0000,218.2083,0.0040,0.0000
11,46.6656,3.5303,26.7237,26.7236,320.0,10.0000,213.2787,0.0048,0.0000
12,50.1573,3.4917,26.4984,26.4984,320.0,10.0000,212.0849,0.0060,0.0000
13,53.6883,3.5310,26.3349,26.3348,320.0,10.0000,213.1401,0.0075,0.0000
14,57.2202,3.5319,26.1184,26.1183,320.0,10.0000,213.6167,0.0095,0.0000
15,60.7736,3.5534,25.7675,25.7674,320.0,10.0000,212.7533,0.0120,0.0000
16,64.3104,3.5368,25.5360,25.5359,320.0,10.0000,210.3733,0.0152,0.0000
17,67.8261,3.5157,25.3549,25.3547,320.0,10.0000,211.7070,0.0191,0.0000
18,71.3357,3.5096,25.0685,25.0683,320.0,10.0000,212.5756,0.0239,0.0000
19,74.8856,3.5499,24.5425,24.5422,320.0,10.0000,207.4547,0.0296,0.0000
20,78.4222,3.5366,24.3196,24.3193,320.0,10.0000,210.0614,0.0366,0.0000
21,81.9796,3.5573,23.8579,23.8574,320.0,10.0000,205.4150,0.0448,0.0000
22,85.5430,3.5635,23.4578,23.4573,320.0,10.0000,210.2901,0.0547,0.0000
23,89.1175,3.5745,23.0070,23.0064,320.0,10.0000,202.6970,0.0662,0.0000
24,92.6651,3.5476,22.6762,22.6754,320.0,10.0000,202.6893,0.0799,0.0000
25,96.2457,3.5806,22.1916,22.1907,320.0,10.0000,201.2079,0.0958,0.0000
26,99.7842,3.5385,21.8375,21.8363,320.0,10.0000,203.6833,0.1145,0.0000
27,103.3234,3.5392,21.3262,21.3249,320.0,10.0000,201.3311,0.1360,0.0000
28,106.8950,3.5716,20.9268,20.9252,320.0,10.0000,193.6766,0.1611,0.0000
